site,point_de_prelevement,date,heure,e_coli_npp_100ml,enterocoques_npp_100ml,id_point_prelevement,desc_point_prelevement
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-20,08:05,272.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-20,08:07,388.0,52.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-20,08:12,3873.0,393.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-20,08:20,,7270.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-20,08:27,862.0,97.0,P18057,Face escalier d'accès
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-20,08:30,10462.0,1086.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-07-20,08:55,480.0,556.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-07-20,09:01,459.0,459.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-07-20,09:15,364.0,399.0,P18043,Face Les Hélices
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-21,08:15,161.0,74.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-21,08:19,63.0,41.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-21,08:31,171.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-21,08:34,221.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-21,08:40,591.0,73.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-21,08:49,74.0,10.0,P18057,Face escalier d'accès
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-21,08:51,75.0,41.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-07-21,09:16,183.0,31.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-07-21,09:23,156.0,20.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-07-21,09:31,135.0,10.0,P18043,Face Les Hélices
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-23,07:05,135.0,10.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-23,07:10,173.0,31.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-23,07:17,31.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-23,07:21,54.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-23,07:31,109.0,41.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-23,07:40,134.0,41.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-23,07:55,292.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-23,07:58,173.0,10.0,P18057,Face escalier d'accès
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18060, anse de la pointe (milieu)",2026-07-23,08:20,146.0,10.0,P18060,anse de la pointe (milieu)
PLAGE DU KUENDU BEACH,"P18048, Face entrée du Kuendu Beach",2026-07-23,08:45,185.0,10.0,P18048,Face entrée du Kuendu Beach
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-27,07:18,471.0,122.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-27,07:27,243.0,75.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-27,07:34,122.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-27,07:41,41.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-27,07:55,158.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-27,08:04,620.0,10.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-27,08:15,238.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-27,08:20,122.0,10.0,P18057,Face escalier d'accès
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-07-27,08:58,272.0,41.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-07-27,09:03,107.0,109.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-07-27,09:13,616.0,187.0,P18043,Face Les Hélices
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-30,07:55,246.0,30.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-30,07:58,52.0,10.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-30,08:06,10.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-30,08:09,41.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-30,08:14,52.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-30,08:20,211.0,41.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-30,08:27,52.0,10.0,P18057,Face escalier d'accès
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-30,08:30,109.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DU KUENDU BEACH,"P18048, Face entrée du Kuendu Beach",2026-07-30,09:09,10.0,10.0,P18048,Face entrée du Kuendu Beach
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18061, anse de l'école de voile (milieu)",2026-07-30,09:39,41.0,10.0,P18061,anse de l'école de voile (milieu)
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-08-03,07:44,108.0,41.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-08-03,07:47,63.0,10.0,P18141,Face la Guinche
